T;-90.155000;-73.997000;-281.121000;96.514000;161.610000;57.483000;4;8;24;21;922;99;
T;-94.316000;-23.870000;155.802000;17.548000;-188.545000;51.096000;9;13;27;68;1509;243;
T;24.966000;-219.604000;-162.576000;-337.799000;382.477000;-153.288000;0;0;27;95;617;487;
T;-95.703000;-116.963000;-206.607000;-337.799000;-183.158000;-364.059000;6;18;7;35;1143;162;
T;11.096000;35.805000;-291.282000;-263.220000;-333.994000;517.347000;3;13;14;5;333;459;
T;-31.901000;190.960000;-287.895000;-74.579000;-10.774000;-625.926000;5;18;22;17;1035;93;
T;36.062000;190.960000;-213.381000;-70.192000;-382.477000;217.158000;9;3;6;87;1935;121;
T;-31.901000;-174.251000;193.059000;-193.028000;172.384000;-127.740000;3;13;5;2;2190;20;
T;47.158000;31.031000;57.579000;-228.124000;263.963000;31.935000;2;7;8;87;2507;338;
T;-8.322000;-9.548000;226.929000;131.610000;-533.313000;6.387000;7;19;22;56;367;357;
T;131.765000;210.056000;179.511000;232.511000;48.483000;83.031000;6;8;5;40;1850;210;
T;-45.771000;-236.313000;-30.483000;333.412000;-296.285000;-491.799000;8;17;18;15;2477;346;
T;74.898000;-93.093000;-23.709000;-21.935000;53.870000;613.152000;5;4;25;35;346;17;
T;66.576000;42.966000;-189.672000;-412.378000;156.223000;453.477000;4;8;2;68;880;447;
T;97.090000;4.774000;165.963000;416.765000;-48.483000;415.155000;4;5;15;30;2212;217;
T;133.152000;229.152000;-125.319000;-65.805000;333.994000;102.192000;6;3;8;21;208;354;
T;41.610000;-236.313000;-182.898000;-122.836000;134.675000;134.127000;4;19;9;63;2234;275;
T;20.805000;105.028000;-121.932000;302.703000;102.353000;549.282000;8;11;10;53;1215;202;
T;-137.313000;-226.765000;-10.161000;70.192000;53.870000;319.350000;2;13;9;82;2713;29;
T;8.322000;-131.285000;-325.152000;254.446000;102.353000;-121.353000;7;3;9;28;2789;366;
T;8.322000;-119.350000;270.960000;140.384000;-199.319000;325.737000;0;0;1;54;360;462;
T;81.833000;95.480000;274.347000;285.155000;-53.870000;530.121000;9;0;7;63;2457;313;
T;-31.901000;176.638000;-267.573000;-83.353000;199.319000;159.675000;5;4;9;4;2086;377;
T;-80.446000;54.901000;-23.709000;-263.220000;500.991000;593.991000;2;4;3;97;2604;41;
T;-119.282000;-85.932000;-30.483000;232.511000;-32.322000;319.350000;3;17;19;50;182;45;
T;23.579000;19.096000;308.217000;140.384000;263.963000;-229.932000;1;7;23;74;368;327;
T;63.802000;-73.997000;-60.966000;-394.830000;377.090000;229.932000;4;4;20;23;631;450;
T;-106.799000;54.901000;250.638000;-52.644000;474.056000;542.895000;4;9;25;97;2478;352;
T;-135.926000;-157.542000;0.000000;267.607000;-479.443000;-587.604000;8;18;7;3;1241;133;
T;-34.675000;-121.737000;115.158000;245.672000;-253.189000;542.895000;2;19;14;33;324;373;
T;38.836000;-195.734000;162.576000;-254.446000;-220.867000;-274.641000;9;12;10;84;204;24;
T;27.740000;-150.381000;132.093000;127.223000;-301.672000;574.830000;9;16;20;74;1864;370;
T;135.926000;-4.774000;-142.254000;157.932000;-156.223000;-319.350000;4;4;27;81;929;365;
T;-104.025000;-119.350000;331.926000;350.960000;425.573000;-25.548000;2;15;3;18;943;401;
T;-126.217000;-73.997000;-213.381000;381.669000;-242.415000;63.870000;4;18;5;99;2064;149;
T;-22.192000;171.864000;-37.257000;285.155000;183.158000;12.774000;0;16;24;29;2170;143;
T;-115.121000;-16.709000;-132.093000;350.960000;355.542000;44.709000;0;5;3;65;927;33;
T;110.960000;133.672000;-284.508000;17.548000;172.384000;121.353000;0;16;20;95;1012;436;
T;112.347000;195.734000;240.477000;-201.802000;-107.740000;-57.483000;2;4;25;15;1736;332;
T;-74.898000;133.672000;-237.090000;-109.675000;-258.576000;415.155000;1;14;21;75;1565;128;
T;-30.514000;-119.350000;-237.090000;-8.774000;-387.864000;562.056000;8;13;26;25;2639;269;
T;-18.031000;-200.508000;335.313000;179.867000;118.514000;-146.901000;7;9;14;81;2890;26;
T;120.669000;81.158000;-328.539000;-333.412000;393.251000;491.799000;0;15;22;44;986;354;
T;133.152000;-200.508000;0.000000;70.192000;177.771000;83.031000;5;7;5;83;1641;212;
T;76.285000;-131.285000;193.059000;-394.830000;-75.418000;-210.771000;6;5;23;36;2949;378;
T;-45.771000;-50.127000;77.901000;315.864000;166.997000;-638.700000;2;9;9;69;2315;24;
T;-94.316000;-50.127000;108.384000;-267.607000;-404.025000;6.387000;1;10;0;20;2491;175;
T;-109.573000;-236.313000;104.997000;-298.316000;360.929000;376.833000;9;12;7;47;1973;143;
T;92.929000;-76.384000;-318.378000;329.025000;-404.025000;178.836000;5;7;22;91;577;458;
T;34.675000;174.251000;-233.703000;153.545000;242.415000;-491.799000;9;9;27;44;2676;333;
T;58.254000;186.186000;243.864000;-337.799000;-290.898000;427.929000;8;2;10;42;2887;210;
T;-126.217000;164.703000;-77.901000;140.384000;500.991000;383.220000;2;9;2;53;717;366;
T;52.706000;-183.799000;328.539000;254.446000;527.926000;-6.387000;5;3;8;36;2002;241;
T;42.997000;-85.932000;-182.898000;-293.929000;172.384000;517.347000;6;1;3;56;706;481;
T;9.709000;35.805000;-47.418000;-105.288000;5.387000;-351.285000;9;9;9;16;1684;250;
T;55.480000;231.539000;-118.545000;-65.805000;-140.062000;-108.579000;0;12;14;0;2090;457;
T;24.966000;-90.706000;314.991000;298.316000;404.025000;-619.539000;9;8;13;35;2470;186;
T;-22.192000;78.771000;-328.539000;13.161000;-344.768000;-172.449000;3;2;23;54;1530;274;
T;-19.418000;-164.703000;206.607000;-223.737000;-220.867000;-306.576000;3;19;21;93;2436;85;
T;69.350000;133.672000;-250.638000;386.056000;107.740000;255.480000;4;4;25;17;1138;300;
T;105.412000;-28.644000;27.096000;-52.644000;317.833000;523.734000;2;3;26;57;2812;400;
T;62.415000;64.449000;223.542000;-399.217000;333.994000;-351.285000;0;19;25;51;273;449;
T;-9.709000;-28.644000;254.025000;-122.836000;-484.830000;-491.799000;6;11;26;0;1617;319;
T;115.121000;183.799000;314.991000;153.545000;-506.378000;-587.604000;1;4;6;69;841;445;
T;-98.477000;-188.573000;169.350000;-403.604000;-86.192000;-395.994000;8;17;26;39;1140;307;
T;44.384000;-207.669000;-206.607000;157.932000;-161.610000;249.093000;8;12;24;20;396;211;
T;134.539000;-97.867000;37.257000;131.610000;166.997000;408.768000;5;8;24;46;1079;483;
T;-20.805000;-174.251000;-331.926000;83.353000;333.994000;-364.059000;6;14;9;98;1108;271;
T;133.152000;-40.579000;77.901000;-166.706000;226.254000;434.316000;9;5;26;19;77;145;
T;-55.480000;-136.059000;67.740000;100.901000;70.031000;268.254000;9;10;12;82;787;378;
T;99.864000;-133.672000;-206.607000;-70.192000;-441.734000;-632.313000;3;15;4;83;291;424;
T;-48.545000;-14.322000;-335.313000;241.285000;393.251000;-472.638000;4;19;22;94;1864;112;
T;130.378000;45.353000;44.031000;74.579000;-382.477000;140.514000;8;16;15;82;851;272;
T;65.189000;-131.285000;44.031000;355.347000;404.025000;-204.384000;4;3;14;10;2115;420;
T;116.508000;33.418000;-281.121000;434.313000;183.158000;-146.901000;1;11;4;44;48;440;
T;-61.028000;-162.316000;-108.384000;-96.514000;-398.638000;-415.155000;1;3;26;31;1627;499;
T;101.251000;31.031000;-60.966000;109.675000;-210.093000;-255.480000;7;7;12;64;1913;170;
T;54.093000;-19.096000;-298.056000;-337.799000;-150.836000;-325.737000;2;18;16;53;1669;424;
T;-92.929000;9.548000;-132.093000;-201.802000;231.641000;-625.926000;2;12;24;21;2983;147;
T;-110.960000;207.669000;-101.610000;329.025000;-366.316000;-223.545000;6;10;12;72;2878;331;
T;-37.449000;-62.062000;-308.217000;-153.545000;-70.031000;357.672000;4;5;28;82;1278;322;
T;-18.031000;-202.895000;-88.062000;-48.257000;301.672000;459.864000;0;18;25;72;1709;21;
T;-77.672000;128.898000;-284.508000;118.449000;307.059000;-185.223000;6;18;15;14;458;68;
T;-99.864000;-238.700000;169.350000;241.285000;161.610000;12.774000;0;5;12;33;1368;147;
T;120.669000;-207.669000;67.740000;-87.740000;-495.604000;498.186000;4;16;13;41;2751;252;
T;52.706000;66.836000;-274.347000;13.161000;-204.706000;-51.096000;9;8;21;41;344;461;
T;-79.059000;-181.412000;50.805000;-157.932000;-237.028000;-625.926000;4;10;12;14;962;168;
T;-36.062000;150.381000;-145.641000;21.935000;-102.353000;-530.121000;6;2;25;83;660;270;
T;137.313000;-16.709000;60.966000;-179.867000;32.322000;357.672000;9;13;6;27;205;464;
T;1.387000;-126.511000;-311.604000;-302.703000;-447.121000;223.545000;6;6;3;55;1011;324;
T;-79.059000;-66.836000;-281.121000;-307.090000;-32.322000;146.901000;4;15;19;75;97;126;
T;116.508000;38.192000;-84.675000;-131.610000;517.152000;542.895000;1;3;16;48;2040;31;
T;-2.774000;-171.864000;-165.963000;-421.152000;387.864000;261.867000;2;10;7;31;925;260;
T;-37.449000;217.217000;-270.960000;-434.313000;484.830000;370.446000;0;0;22;68;1325;497;
T;-73.511000;-33.418000;47.418000;197.415000;-5.387000;293.802000;6;18;23;56;2303;357;
T;-8.322000;-102.641000;-121.932000;87.740000;-129.288000;-44.709000;6;18;19;98;2829;161;
T;41.610000;126.511000;325.152000;-61.418000;301.672000;-210.771000;7;10;1;79;2670;489;
T;-77.672000;138.446000;284.508000;-342.186000;350.155000;114.966000;2;14;12;52;2165;365;
T;-90.155000;188.573000;165.963000;-206.189000;-107.740000;300.189000;8;9;11;2;1229;255;
T;-102.638000;-90.706000;-270.960000;-324.638000;-522.539000;-19.161000;2;13;28;85;2096;298;
T;-52.706000;-205.282000;196.446000;188.641000;-371.703000;-89.418000;7;18;1;4;557;399;
T;-116.508000;-176.638000;-331.926000;228.124000;490.217000;491.799000;1;11;9;2;288;358;
T;-101.251000;112.189000;301.443000;127.223000;441.734000;38.322000;4;11;5;62;1402;234;
T;-5.548000;159.929000;328.539000;368.508000;-48.483000;-600.378000;1;9;23;11;818;485;
T;-18.031000;181.412000;152.415000;144.771000;377.090000;127.740000;0;5;23;61;471;445;
T;-72.124000;140.833000;274.347000;-210.576000;188.545000;619.539000;6;1;29;92;6;275;
T;56.867000;-119.350000;10.161000;65.805000;430.960000;185.223000;3;17;28;91;499;154;
T;110.960000;-23.870000;254.025000;-21.935000;-382.477000;312.963000;3;3;5;19;2468;453;
T;-36.062000;102.641000;37.257000;171.093000;113.127000;427.929000;0;19;29;66;263;224;
T;63.802000;138.446000;189.672000;193.028000;-360.929000;-153.288000;0;8;28;6;765;301;
T;95.703000;-76.384000;-247.251000;-92.127000;-75.418000;562.056000;1;15;18;95;2539;222;
T;-92.929000;-236.313000;193.059000;-394.830000;393.251000;89.418000;1;19;24;36;2537;313;
T;102.638000;-224.378000;257.412000;188.641000;215.480000;-402.381000;8;10;5;47;2252;328;
T;-29.127000;-157.542000;84.675000;4.387000;-80.805000;325.737000;4;1;12;94;2405;269;
